| Economy | CURACAO |
| --- | --- |
| Economy - overview: | Most of Curacao’s GDP results from services. Tourism, petroleum refining and bunkering, offshore finance, and transportation and communications are the mainstays of this small island economy, which is closely tied to the outside world. Curacao has limited natural resources, poor soil, and inadequate water supplies, and budgetary problems complicate reform of the health and education systems. Although GDP grew only slightly during the past decade, Curacao enjoys a high per capita income and a well-developed infrastructure compared to other countries in the region. |
| Economy - overview: | Curacao has an excellent natural harbor that can accommodate large oil tankers, and the port of Willemstad hosts a free trade zone and a dry dock. Venezuelan state-owned oil company PdVSA, under a contract in effect until 2019, leases the single refinery on the island from the government, directly employing some 1,000 people. Most of the oil for the refinery is imported from Venezuela and most of the refined products are exported to the US and Asia. Almost all consumer and capital goods are imported, with the US, the Netherlands, and Venezuela being the major suppliers. |
| Economy - overview: | The government is attempting to diversify its industry and trade. Curacao is an Overseas Countries and Territories (OCT) of the European Union. Nationals of Curacao are citizens of the European Union, even though it is not a member. Based on its OCT status, products that originate in Curacao have preferential access to the EU and are exempt from import duties. Curacao is a beneficiary of the Caribbean Basin Initiative and, as a result, products originating in Curacao can be imported tax free into the US if at least 35% has been added to the value of these products in Curacao. The island has state-of-the-art information and communication technology connectivity with the rest of the world, including a Tier IV datacenter. With several direct satellite and submarine optic fiber cables, Curacao has one of the best Internet speeds and reliability in the Western Hemisphere. |
| GDP (purchasing power parity): | $3.128 billion (2012 est.) |
| GDP (purchasing power parity): | $3.02 billion (2011 est.) |
| GDP (purchasing power parity): | $2.96 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $5.6 billion (2012 est.) |
| GDP - real growth rate: | 3.6% (2012 est.) |
| GDP - real growth rate: | 2% (2011 est.) |
| GDP - real growth rate: | 0.1% (2010 est.) |
| GDP - per capita (PPP): | $15,000 (2004 est.) |
| GDP - composition, by end use: | household consumption: 66.9% |
| GDP - composition, by end use: | government consumption: 33.6% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 17.5% |
| GDP - composition, by end use: | imports of goods and services: -37.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% |
| GDP - composition, by sector of origin: | industry: 15.5% |
| GDP - composition, by sector of origin: | services: 83.8% (2012 est.) |
| Agriculture - products: | aloe, sorghum, peanuts, vegetables, tropical fruit |
| Industries: | tourism, petroleum refining, petroleum transshipment, light manufacturing, financial and business services |
| Industrial production growth rate: | NA% |
| Labor force: | 73,010 (2013) |
| Labor force - by occupation: | agriculture: 1.2% |
| Labor force - by occupation: | industry: 16.9% |
| Labor force - by occupation: | services: 81.8% (2008 est.) |
| Unemployment rate: | 13% (2013 est.) |
| Unemployment rate: | 9.8% (2011 est.) |
| Taxes and other revenues: | 16.6% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -0.4% of GDP (2012 est.) |
| Public debt: | 33.2% of GDP (2012 est.) |
| Public debt: | 40.6% of GDP (2011 est.) |
| Inflation rate (consumer prices): | 2.6% (2013 est.) |
| Inflation rate (consumer prices): | 2.8% (2012 est.) |
| Exports: | $1.607 billion (2011 est.) |
| Exports: | $1.44 billion (2010 est.) |
| Exports - commodities: | petroleum products |
| Imports: | $1.285 billion (2011 est.) |
| Imports: | $1.275 billion (2010 est.) |
| Imports - commodities: | crude petroleum, food, manufactures |
| Exchange rates: | Netherlands Antillean guilders (ANG) per US dollar - |
| Exchange rates: | 1.79 (2014 est.) |
| Exchange rates: | 1.79 (2013 est.) |
| Exchange rates: | 1.79 (2012 est.) |
